Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
Politieacademie,LSOP,Postbus 834,7301 BB,Apeldoorn,Arnhemseweg 348,7334 AC,Apeldoorn,055 5392000,info@politieacademie.nl,http://www.politieacademie.nl/,"Wet van 23 januari 2003, houdende regels met betrekking tot het LSOP Politie onderwijs- en kenniscentrum, de landelijke werving, de selectie, het onderwijs voor de politie, alsmede het overdragen van kennis aan de politie (Wet op het LSOP en het politieonderwijs)",[Wet op het LSOP en het politieonderwijs](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=wet%20op%20het%20LSOP%20en%20het%20politieonderwijs/article=2),,Ministerie van Veiligheid en Justitie (VenJ),"* Het ondersteunen van de landelijke werving en het uitvoeren van de selectie;
 
 * het verzorgen van initieel en post-initieel politieonderwijs (inclusief examinering);
 
 * het overdragen van kennis aan de Nederlandse politie en het bijdragen aan de ontwikkeling van de uitoefening van de politietaak, onder meer door het verrichten van onderzoek;
 
 * het ontwikkelen en verzorgen van andere opleidingen dan het initieel of post-initieel onderwijs;
 
 * Verder kan de Politieacademie marktactiviteiten uitvoeren (zie artikel 3 lid 2 van de Wet op het LSOP), mits die werkzaamheden uitvoeren, mits die werkzaamheden samenhangen met bovengenoemde taken, niet leiden tot concurrentievervalsing ten opzichte van private aanbieders van vergelijkbare diensten en tegen ten minste kostendekkende prijzen worden verricht.",In voorbereiding,,,1992,"De wettelijke aanduiding van dit ZBO is: Landelijk selectie- en opleidingsinstituut politie, Politie onderwijs- en kenniscentrum. 
 
 De minister van Veiligheid en Justitie is voornemens deze ZBO onder werking van de Kaderwet zelfstandige bestuursorganen te brengen (Tweede Kamer 2007-2008, 25268, nummer 49, mededeling minister van Binnenlandse Zaken en Koninkrijksrelaties).",,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,11/07/16
Raad voor Accreditatie,RvA,Postbus 2768,3500 GT,Utrecht,Daalseplein 101,3511 SX,Utrecht,030 2394500,contact@rva.nl,http://www.rva.nl,Wet aanwijzing nationale accreditatie-instantie,[Wet aanwijzing nationale accreditatie-instantie](http://wetten.overheid.nl/BWBR0026591/),,Ministerie van Economische Zaken (EZ),"* Het uitvoeren van de in verordening (EG) nummer 765/2008 (betreffende accreditatie en markttoezicht) opgedragen taken. Hierij kan men denken aan het beoordelen van de bekwaamheid van conformiteitsbeoordelingsinstanties om een specifieke conformiteitsbeoordelingsactiviteit uit te voeren, 
 
 * het monitoren van de conformiteitsbeoordelingsinstanties waaraan een accreditatieverklaring is verleend 
 
 * en de werkzaamheden in het kader van de collegiale toetsing.",Ja,"26,27,28,29,30,31,32,33,34,35",,2010,"Accreditatie is het beoordelen of een keuringsinstantie, certificeringsinstantie, inspectie-instantie of een laboratorium (conformiteitsbeoordelingsinstanties) onpartijdig en competent zijn werk uitvoert. Bij een positieve beoordeling wordt door de accreditatie-instantie een formele verklaring afgegeven dat de instantie voldoet aan de eisen die zijn bepaald door Europese geharmoniseerde normen (Staatscourant 2010, 3033) en, indien van toepassing, door aanvullende eisen.",84,-2014,Geen CAO,Pensioenfonds Centraal Beheer,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Raad voor plantenrassen,,Postbus 40,2370 AA,Roelofarendsveen,Sotaweg 22,2371 GD,Roelofarendsveen,071 3326137,plantenrassen@naktuinbouw.nl,http://www.plantenrassen.nl/,"Zaaizaad- en Plantgoedwet 2005, artikel 2",[Zaaizaad- en Plantgoedwet 2005](http://wetten.overheid.nl/BWBR0018040/),,Ministerie van Economische Zaken (EZ),"* De Raad voor plantenrassen is verantwoordelijk voor:de verlening van kwekersrecht
 
 * de toelating van landbouwrassen
 
 * de toelating van rassen en opstanden van bosbouwgewassen
 
 * de toelating van groenterassen met behulp van de zogenaamde B-lijst
 
 * De Raad is houder van het Nederlands Rassenregister.",Ja,,,2006,"Per 1 februari 2006 zijn de Raad voor het kwekersrecht, de Commissie voor de samenstelling van rassenlijst voor landbouwgewassen, de Commissie voor de samenstelling van rassenlijst voor bosbouwgewassen en de Commissie Toelating groenterassen gebundeld in de Raad voor plantenrassen. 
 
 Sinds 1 januari 2008 wordt de Raad voor plantenrassen ondersteund door het Bureau Administratie en Documentatie van Naktuinbouw, afdeling Rassen & Proeven.",1,(2015-01-01),CAO Rijk,ABP,24/01/12,TK 25268 nr. 75,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
Raad voor Rechtsbijstand,RvR,Postbus 70503,5201 CD,s-Hertogenbosch,Croeselaan 15,3521 BJ,Utrecht,088 7871000,webredactie@rvr.org,http://www.rvr.org/,"Ingesteld bij Wet op de rechtsbijstand, artikel 2, eerste lid",[Wet op de rechtsbijstand](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20rechtsbijstand/article=2),,Ministerie van Veiligheid en Justitie (VenJ),De Raad voor Rechtsbijstand zorgt voor de organisatie en het verlenen van rechtsbijstand en mediation. Hij houdt toezicht op de uitvoering hiervan. Daarnaast coördineert de Raad in opdracht van de Minister van Veiligheid en Justitie de uitvoering van de Wet schuldsanering natuurlijke personen en voert hij ook de Wet beëdigde tolken en vertalers (WBTV) uit.,Ja,15,,1994,,"250,5",(2014-12-31),CAO Rechtsbijstand,PGGM,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
RDW,,Postbus 777,2700 AT,Zoetermeer,Europaweg 205,2711 ER,Zoetermeer,0900 0739,Via de website kunt u contact opnemen met deze organisatie.,http://www.rdw.nl/,"Wegenverkeerswet 1994, artikel 4a",[Wegenverkeerswet 1994](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wegenverkeerswet%201994/article=4a),,Ministerie van Infrastructuur en Milieu (IenM),"* Verrichten van type- en inrichtingskeuringen;
 
 * afgeven van nationale en internationale certificaten voor voertuigonderdelen en uitrustingsstukken;
 
 * houden van toezicht op productiesystemen;
 
 * verrichten van bijzondere keuringen, kentekenonderzoeken en periodieke keuringen;
 
 * verlenen van ontheffingen voor bijzondere transporten;
 
 * houden van toezicht op de uitvoering van diverse bedrijfsactiviteiten zoals voertuigen opnemen in of verkopen uit bedrijfsvoorraad, de Algemene Periodieke Keuring (APK), de afgifte van kentekenplaten en de inbouw van tachografen, snelheidsbegrenzers en LPG-installaties;
 
 * verzamelen, bewerken en beheren van diverse basisregisters van voertuig- en persoonsgegevens, verzekeringen, rijbewijzen en snelle motorboten;
 
 * verstrekken van informatie uit de registers;
 
 * het bieden van faciliteiten aan derden om kenteken- en rijbewijzen en bromfietscertificaten af te kunnen geven;
 
 * afgeven van kentekendocumenten en rijbewijzen;
 
 * het bieden van faciliteiten aan derden om rechtstreeks in het kentekenregister mutaties aan te kunnen brengen betreffende diefstal, export, opname in bedrijfsvoorraad en demontage;
 
 * handhaven van voertuiggebonden verplichtingen op basis van de Wet Aansprakelijkheidsverzekering Motorrijtuigen (WAM) en Algemene Periodieke Keuring (APK);
 
 * beschikbaar stellen van faciliteiten voor handhaving en opsporingsdiensten;
 
 * vertegenwoordigen van Nederland bij de totstandkoming van de internationale regelgeving voor voertuigtechnische eisen;
 
 * adviseren van de minister van Verkeer en Waterstaat over voertuigbeleid en nationale en internationale wet- en regelgeving.",Ja,15,,1996,,"1.382,40",(2014-12-31),Eigen CAO,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,17/08/16
Referendumcommissie,,Postbus 11713,2502 AS,Den Haag,Turfmarkt 147,2511 DP,Den Haag,070-7517517,info@referendum-commissie.nl,http://www.referendum-commissie.nl/,"Wet Raadgevend referendum, artikelen 87-90",[Wet Raadgevend Referendum](http://wetten.overheid.nl/BWBR0036443/),,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* De referendumcommissie verstrekt informatie aan de kiezer over een aan een referendum onderworpen wet.
 
 * Daarnaast verstrekt de referendumcommissie subsidies ten behoeve van maatschappelijke initiatieven die zich ten doel stellen het publieke debat in Nederland over de aan het referendum onderworpen wet te bevorderen.
 
 * De referendumcommissie stelt ter uitvoering van de taak, genoemd het tweede lid, een regeling vast. In deze regeling wordt in ieder geval een subsidieplafond vastgesteld. Het subsidieplafond bedraagt ten hoogste ¬ 2 miljoen per referendum.",Ja,22,,2015,,,,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
"Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN",,,,,,,,,,https://www.bigregister.nl/registratie/inhetbigregister/specialisatie/,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster.
 
 * In het kort:
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten,
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving.,1998,"De volledige beroepsorganisaties Koninklijke Nederlandsche Maatschappij tot bevordering der Geneeskunst (KNMG), Koninklijke Nederlandse Maatschappij ter bevordering der Pharmacie (KNMP), Koninklijke Nederlandse Maatschappij tot bevordering der Tandheelkunde (KNMT), Federatie van Gezondheidspsychologen en Psychotherapeuten (FGzPt) en Verpleegkundigen & Verzorgenden Nederland (VenVN) zijn geen zbo s behorende tot dit cluster. De Registratiecommissies van de eerder genoemde beroepsorganisatie zijn dit wel.",,,,,,,onbekend,Privaatrechtelijk - Stichting,Cluster van ZBO's,18/07/16
Rijkshavenmeesters,,,,,,,,,,,"Scheepvaartverkeerswet, art. 2, Stb. 1988, 352",[Scheepvaartverkeerswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Scheepvaartverkeerswet),,Ministerie van Infrastructuur en Milieu (IenM),"De Rijkshavenmeester/het Havenbedrijf Rotterdam verricht nautisch beheer/taken voor de Gemeente Rotterdam en het Rijk, zoals ten aanzien van het toelatingsbeleid, het ad hoc opleggen van loodsplicht, het geven van opdrachten voor vaarwegmarkering en het geven van verkeersaanwijzingen.",Nee,,,1988,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,21/09/15
Samenwerkingsorganisatie Beroepsonderwijs Bedrijfsleven,SBB,Postbus 7259,2701 AG,Zoetermeer,Louis Braillelaan 24,2719 EJ,Zoetermeer,088 3380000,Via de website kunt u contact opnemen met deze organisatie.,https://www.s-bb.nl/,"Wet educatie en beroepsonderwijs, artikel 1.5.2",[Wet educatie en beroepsonderwijs](http://wetten.overheid.nl/BWBR0007625/),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* a. het ontwikkelen en onderhouden van een landelijke kwalificatiestructuur, gericht op de aansluiting tussen het aanbod van beroepsonderwijs en de maatschappelijke behoeften daaraan, mede in het licht van de arbeidsmarkt voor afgestudeerden, en mede gelet op van belang zijnde ontwikkelingen in internationaal verband, onder meer door het doen van voorstellen aan de minister van OCW voor de kwalificatiedossiers, bedoeld in artikel 7.2.4, tweede lid,; 
 
 * b. het bijdragen aan een doelmatige en doelgerichte inzet van overheidsmiddelen door het ontwikkelen van voorstellen, welke beroepsopleidingen voor bekostiging uit  s Rijks kas in aanmerking komen; 
 
 * c. het bevorderen van de kwaliteit van de beroepspraktijkvorming; 
 
 * d. het ontwikkelen en vaststellen van kwaliteitscriteria voor beroepspraktijkvormingsplaatsen en het ten minste een maal per vier jaar beoordelen van bedrijven en organisaties die de beroepspraktijkvorming verzorgen aan de hand van deze criteria en het openbaar maken van een overzicht van bedrijven en organisaties die voldoen aan deze criteria; 
 
 * e. het zoveel mogelijk zorg dragen voor de beschikbaarheid van een toereikend aantal bedrijven en organisaties van voldoende kwaliteit die de beroepspraktijkvorming verzorgen; 
 
 * f. het uitvoeren van onderzoek ter ondersteuning van de taken, genoemd als hierboven, en; 
 
 * g. het uitvoeren van aanvullende activiteiten ter bevordering van de aansluiting onderwijs en arbeidsmarkt;",Ja,,,2015,,450,(2014-12-31),,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,16/08/16
Sociale Verzekeringsbank,SVB,Postbus 1100,1180 BH,Amstelveen,Van Heuven Goedhartlaan 1,1181 KJ,Amstelveen,020 6565656,Via de website kunt u contact opnemen met deze organisatie.,http://www.svb.nl/,Wet structuur uitvoeringsorganisatie werk en inkomen (SUWI) artikel 3,[Wet structuur uitvoeringsorganisatie werk en inkomen (SUWI)](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20structuur%20uitvoeringsorganisatie%20werk%20en%20inkomen/article=3),,Ministerie van Sociale Zaken en Werkgelegenheid (SZW),"* a. Het uitvoeren van de Algemene Ouderdomswet, de Algemene nabestaandenwet, de Algemene Kinderbijslagwet en wetten die de uitvoering van deze wetten beheersen;
 
 * b. Beheren en administreren van de fondsen, bedoeld in artikel 1 Wet structuur uitvoeringsorganisatie werk en inkomen, onderdelen f en g van de Wet financiering sociale verzekeringen en het Algemeen Kinderbijslagfonds, genoemd in artikel 29a van de Algemene Kinderbijslagwet;
 
 * c. Zorgdragen voor gevraagde en ongevraagde verstrekking van deugdelijke informatie aan werkgevers, werknemers, uitkeringsgerechtigden, verzekerden en andere belanghebbenden in verband met de uitvoering van de in onderdeel a genoemde wetten;
 
 * d. Het uitvoeren van taken die bij of krachtens enige andere wet dan de in onderdeel a bedoelde wetten, aan de Sociale verzekeringsbank zijn opgedragen;
 
 * e. Het in opdracht van Onze Minister of uit eigen beweging verrichten van onderzoek met betrekking tot de wettelijke taken van de Sociale verzekeringsbank;
 
 * f. Het aan Onze Minister op zijn verzoek verstrekken van de inlichtingen die nodig zijn voor de beoordeling van de uitvoerbaarheid van beleidsvoornemens en wettelijke voorschriften;
 
 * g. Het voeren van een adequate administratie ten behoeve van de uitoefening van haar taak;
 
 * h. Het verrichten van diensten voor gegevensverkeer met het buitenland en verwerking van gegevens afkomstig uit het buitenland;
 
 * i. Op verzoek van een verzekerde, een zorgverzekeraar of andere belanghebbende verstrekken van informatie over de verzekeringsstatus van de verzekerde voor zover deze informatie noodzakelijk is voor de uitvoering van de Algemene Wet Bijzondere Ziektekosten en de Zorgverzekeringswet en het op verzoek van een verzekerde verstrekken van informatie over de verzekeringstijdvakken en daarop gebaseerde aanspraak op ouderdomspensioen.",Ja,"8,15",,2004,,2.631,(2014-12-31),Eigen CAO,ABP,17/12/15,TK 30982 nr. 26,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Staatsbosbeheer,SBB,Postbus 2,3800 AA,Amersfoort,Smallepad 5,3811 MG,Amersfoort,030 6926111,info@staatsbosbeheer.nl,http://www.staatsbosbeheer.nl/,"Wet verzelfstandiging Staatsbosbeheer 1997, Staatsblad 514",[Wet verzelfstandiging Staatsbosbeheer](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20VERZELFSTANDIGING%20STAATSBOSBEHEER),,Ministerie van Economische Zaken (EZ),Beheren van staatsbossen en natuurterreinen.,Nee,,,1998,,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,11/07/16
Stichting Administratie Indonesische Pensioenen,SAIP,Postbus 1263,6400 BG,Heerlen,Oude Lindestraat 70,6411 EJ,Heerlen,045 5793058,Via de website kunt u contact opnemen met deze organisatie.,http://www.saip.nl/,"Ingesteld bij notariële akte. De taak is opgedragen bij Wet houdende vaststelling regeling ten aanzien van de Stichting tot verzorging en afwikkeling van pensioensaangelegenheden gewezen overheidspersoneel van Indonesië en hun nagelaten betrekkingen (Wet Stichting Administratie Indonesische Pensioenen, Staatsblad 1955, nummer 189) en de bijbehorende overeenkomst van 31 mei 1951.",[Wet houdende vaststelling regeling ten aanzien van de Stichting tot verzorging en afwikkeling van pensioensaangelegenheden gewezen overheidspersoneel van Indonesië](http://wetten.overheid.nl/cgi-bin/deeplink/law1/bwbid=BWBR0002180),,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* Zorgdragen voor de uitvoering van de verplichting tot voldoening van de weduwenpensioenen en wezenonderstanden aan de nagelaten betrekkingen van gewezen overheidspersoneel van Indonesië.
 
 * Namens de minister nemen van beslissingen ter uitvoering van de regelingen en aangelegenheden welke verband houden met zogenaamde overzeese pensioenen en uitkeringen.",Nee,,,1955,,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Afwikkeling Maror-gelden Overheid,MAROR,Postbus 4098,3006 AB,Rotterdam,Weteringschans 126,1017 XV,Amsterdam,020 6799373,collectieven@maror.nl,http://www.maror.nl/,"Deze zbo heeft geen wettelijke grondslag, zie kamerstukken tweede kamer, vergaderjaar 1999-2000, 25839 nummer 17",,,Ministerie van Financiën (FIN),Beheer en verdeling van joodse restitutiegelden.,Nee,,,2000,Ook bekend onder de naam Stichting Morele aansprakelijkheid roof en rechtsherstel.,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,26/10/15
Stichting Afwikkeling Rechtsherstel Sinti en Roma,SARSR,,,,,,,,,,,,,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)",,Nee,,,2009,De Stichting is een voortzetting van Stichting Rechtsherstel Sinti en Roma,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,30/03/15
Stichting Airport Coordination Netherlands,SACN,,,,Evert van de Beekstraat 23,1118 CL,Schiphol,020 4059730,info@slotcoordination.nl,http://www.slotcoordination.nl/,Besluit slotallocatie,[Besluit slotallocatie](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Besluit%20slotallocatie),,Ministerie van Infrastructuur en Milieu (IenM),"* Toewijzen van ""slots"" aan luchtvaartmaatschapppijen;
 
 * adviseren, bestuderen van ontwikkelingen;
 
 * rapporteren aan het ministerie van IenM.",Ja,"17,18,21,22,26,29,43","EU-regelgeving dwingt de SCAN af te wijken van bepalingen omtrent de goedkeuring van de tarieven, de begroting en de jaarrekening, beleidsregels en het vernietigingsrecht van de minister.",1998,,"3,55",-2014,CAO Rijk,ABP,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Bloembollenkeuringsdienst,BKD,Postbus 300,2160 AH,Lisse,Zwartelaan 2,2161 AL,Lisse,0252 419101,Via de website kunt u contact opnemen met deze organisatie.,http://www.bkd.eu/,"Landbouwkwaliteitswet, Staatsblad 1971, 371 en de Plantenziektewet via mandaat",[Landbouwkwaliteitswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=LANDBOUWKWALITEITSWET),,Ministerie van Economische Zaken (EZ),Kwaliteitskeuring bloembollen,Ja,,,1979,,100,(2015-01-01),Eigen regeling,Pensioen Aegon,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Centraal Orgaan voor Kwaliteitsaangelegenheden in de Zuivel,COKZ,Postbus 250,3830 AG,Leusden,Kastanjelaan 7,3833 AN,Leusden,033 4965696,cokz@cokz.nl,http://www.cokz.nl/,"Landbouwkwaliteitswet, Staatsblad 1971 nummer 371",[Landbouwkwaliteitswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=LANDBOUWKWALITEITSWET),,Ministerie van Economische Zaken (EZ),Houdt toezicht op de naleving van proces- en productkwaliteitscriteria in de zuivel. Voert deze taak uit voor de overheid en voor de zuivelsector. Daarnaast verleent CPE-keurmerk aan eieren,Ja,,,1994,"Is opvolger van het Centraal Orgaan Zuivelcontrole (COZ), het centraal orgaan melkhygiëne (COM) en de regionale organen voor melkhygiëne (Staatscourant 1992 nummer 63).","53,14",(2014-12-31),Geen CAO,Pensioenfonds Avéro,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
"Stichting Controlebureau voor Pluimvee, Eieren en Eiproducten",CPE,,,,,,,,,,Landbouwkwaliteitswet,[Landbouwkwaliteitswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=LANDBOUWKWALITEITSWET),,Ministerie van Economische Zaken (EZ),Verleent CPE-keurmerk aan eieren.,Ja,,,1962,De taken zijn met ingang van 1 juli 2012 overgenomen door COKZ. CPE wikkelt alleen nog lopende zaken af.,0,(2014-12-31),CAO Productschappen,Pensioen PBOD,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Donorgegevens Kunstmatige Bevruchting,,Postbus 16077,2500 BB,Den Haag,Parnassusplein 5,2511 VX,Den Haag,070 3405540,info@donorgegevens.nl,http://www.donorgegevens.nl/,Wet donorgegevens kunstmatige bevruchting,[Wet donorgegevens kunstmatige bevruchting](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=wet%20donorgegevens%20kunstmatige%20bevruchting),,Ministerie van Veiligheid en Justitie (VenJ),Beheren en verstrekken van gegevens over donoren bij kunstmatige bevruchting.,Ja,22,,2004,,"1,79",(31-12-2014) (ondersteuning),CAO Rijk (ondersteuning),ABP (ondersteuning),,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,16/08/16
Stichting Fonds voor Cultuurparticipatie,,Postbus 465,3500 AL,Utrecht,Kromme Nieuwegracht 70,3512 HL,Utrecht,030 2336030,info@cultuurparticipatie.nl,http://www.cultuurparticipatie.nl,"Wet op het specifiek cultuurbeleid, Staatsblad 1993, 193, artikel 9",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20specifiek%20cultuurbeleid/article=9),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)",Verstrekken en monitoren van subsidies op het gebied van cultuurparticipatie.,Ja,22,"Zover het een besluit betreft die het bestuur van een fonds neemt ter uitvoering van de in art. 9, eerste lid, van de wet op het specifiek cultuurbeleid bedoelde taak.",2007,,20,-2014,CAO Rijk,ABP,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Kwaliteits-Controle-Bureau,KCB,Postbus 420,2700 AK,Zoetermeer,Louis Pasteurlaan 6,2719 EE,Zoetermeer,088 3088200,kcb@kcb.nl,http://www.kcb.nl/,"Landbouwkwaliteitswet, Staatsblad 1971 nummer 371 en de Plantenziektenwet via mandaat",[Landbouwkwaliteitswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=LANDBOUWKWALITEITSWET),,Ministerie van Economische Zaken (EZ),"* De belangrijkste taak van het KCB is het inspecteren van verse groenten en fruit, snijbloemen en potplanten. Het KCB verricht: 
 
 * de import- en exportinspectie (kwaliteit) van verse groenten en fruit; 
 
 * de kwaliteitscontrole van verse groenten en fruit die binnen Nederland worden verhandeld, met uitzondering van het detailhandelsstadium; 
 
 * de importinspectie (fytosanitair) van verse groenten en fruit, snijbloemen en potplanten en van plantaardige producten die niet onder een specifieke sector vallen, ook wel  diverse producten genaamd; 
 
 * de bemonstering- en monitoring activiteiten ten behoeve van de export naar specifieke bestemmingen, onder andere de  Monitoring vruchtgroenten bestemd voor Japan, USA en Canada.; 
 
 * Daarnaast voert het KCB voor de overheid een aantal projecten uit, zoals Survey Tuta Absoluta in de eindteelt van tomaat en Survey Afrikaanse fruitmot in de eindteelt van paprika. De fytosanitaire exportinspectie van de plantaardige producten en de afgifte van fytosanitaire exportcertificaten gebeuren door NVWA-ambtenaren.; 
 
 * Het waarmerken van fytosanitaire certificaten met een CITES-bijschrijving vindt eveneens plaats door NVWA-ambtenaren. De aanvraag van de fytosanitaire exportinspecties en verzoeken tot afgifte van fytosanitaire exportcertifcaten worden door het KCB in ontvangst genomen.;",Ja,,,1998,,"111,9",(2014-12-31),Geen CAO,Pensioen ASR,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Nationale en Internationale Wegvervoer Organisatie,NIWO,Postbus 3004,2280 MB,Rijswijk,Veraartlaan 10,2288 GM,Rijswijk,070 3992011,info@niwo.nl,http://www.niwo.nl/,Wet wegvervoer goederen artikel 1.1 en 4.1,"</br>[Wet wegvervoer goederen](http://wetten.overheid.nl/BWBR0024800/)
 </br>[Besluit wegvervoer goederen](http://wetten.overheid.nl/BWBR0033600/)",,Ministerie van Infrastructuur en Milieu (IenM),"* Bevorderen van het Nederlandse binnenlandse en grensoverschrijdende beroepsgoederenvervoer over de weg door:<br />a. (ingevolge artikel 32 wgw)<br />verlenen en intrekken van vergunningen voor binnenlands beroepsvervoer als bedoeld in artikel 8 onderscheidenlijk artikel 12, eerste lid;
 
 * verlenen en intrekken van communautaire vergunningen als bedoeld in artikel 10, tweede onderscheidenlijk vierde lid;
 
 * verlenen en intrekken van machtigingen strekkende tot het verrichten van grensoverschrijdend vervoer als bedoeld in artikel 25, eerste lid;
 
 * afgeven van aanvullende documenten voor grensoverschrijdend beroepsvervoer als bedoeld in artikel 26, eerste lid, respectievelijk tweede lid, onderdeel c;
 
 * overige bij of krachtens algemene maatregel van bestuur op te dragen werkzaamheden, zowel ten aanzien van het binnenlands beroepsvervoer als het grensoverschrijdend beroepsvervoer;
 
 * b. (ingevolgde artikel 7 Besluit goederenvervoer over de weg)<br />bijhouden van een registratie- en signaleringssysteem ter uitvoering van het bepaalde in artikel 12 van de wet;
 
 * beheren van gegevensbestanden uit hoofde van haar publieke taken;
 
 * deelnemen aan onderhandelingen in het kader van bilaterale verdragen met andere staten, dan wel ter afsluiting van bilaterale verdragen;
 
 * bij ministeriële regeling kan de NIWO belast worden met overige taken, waartoe in ieder geval behoort de uitvoering van Verordening (EEG) nummer 391/90.",Ja,,,2004,,"27,3",(2014-12-31),Eigen CAO,De Eendragt,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
